City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather description
220,Kutum,14.2,24.6667,72.84,26,97,7.11,SD,overcast clouds
221,Savannah Bight,16.45,-85.85,79.68,77,3,11.72,HN,clear sky
222,Tessalit,20.1986,1.0114,76.28,15,83,12.88,ML,broken clouds
223,Robertsport,6.7533,-11.3686,83.01,62,30,12.39,LR,scattered clouds
224,Kavieng,-2.5744,150.7967,81.97,79,60,11.72,PG,light rain
225,Targusor,44.45,28.4167,35.08,87,100,9.22,RO,mist
226,Asau,46.4333,26.4,27.52,83,17,5.19,RO,few clouds
227,Sitka,57.0531,-135.33,31.89,55,100,20.71,US,overcast clouds
228,Aizpute,56.7167,21.6,38.43,94,100,5.41,LV,overcast clouds
229,Abu Samrah,35.3029,37.1841,53.89,72,84,7.36,SY,broken clouds
230,Bathsheba,13.2167,-59.5167,79.41,83,75,14.97,BB,light rain
231,Ampanihy,-24.7,44.75,72.82,55,82,10.07,MG,broken clouds
232,Palmer,42.1584,-72.3287,56.44,78,100,21.85,US,overcast clouds
233,Mount Isa,-20.7333,139.5,74.97,100,100,4.61,AU,overcast clouds
234,Mocuba,-16.8392,36.9856,75.78,77,100,4.27,MZ,overcast clouds
235,Dwarka,22.2394,68.9678,71.46,37,0,12.01,IN,clear sky
236,Frontera,26.9333,-101.45,20.95,49,75,10.36,MX,broken clouds
237,Coquimbo,-29.9533,-71.3436,67.73,72,0,13.8,CL,clear sky
238,Amboasary,-25.0333,46.3833,71.83,69,80,9.35,MG,broken clouds
239,Limoeiro Do Ajuru,-1.8953,-49.3806,74.55,94,100,4.83,BR,light rain
240,Saint George,37.1041,-113.5841,39.79,60,0,0.0,US,clear sky
241,Dawson Creek,55.7666,-120.2362,-11.85,89,100,3.18,CA,overcast clouds
242,Kodiak,57.79,-152.4072,35.11,93,100,26.46,US,mist
243,Faya,18.3851,42.4509,55.92,70,91,13.15,SA,overcast clouds
244,Ramgarh,23.6333,85.5167,66.25,40,0,1.19,IN,clear sky
245,Mehamn,71.0357,27.8492,24.75,80,100,6.91,NO,light snow
246,Kieta,-6.2167,155.6333,78.21,88,100,0.51,PG,light rain
247,Cherskiy,68.75,161.3,-2.38,82,0,2.06,RU,clear sky
248,Talnakh,69.4865,88.3972,-8.55,95,100,11.14,RU,overcast clouds
249,Brody,50.0879,25.1503,37.17,92,100,7.63,UA,overcast clouds
250,Raudeberg,61.9875,5.1352,32.86,71,90,13.31,NO,overcast clouds
251,Luebo,-5.35,21.4167,79.14,72,73,2.89,CD,light rain
252,Dinguiraye,11.3,-10.7167,88.25,12,8,6.78,GN,clear sky
253,Darhan,49.4867,105.9228,-2.83,99,96,3.13,MN,overcast clouds
254,Geraldton,-28.7667,114.6,73.81,68,0,8.05,AU,clear sky
255,Diego De Almagro,-26.3667,-70.05,78.48,22,0,10.45,CL,clear sky
256,Wanning,18.8003,110.3967,64.94,71,72,8.1,CN,broken clouds
257,Bengkulu,-3.8004,102.2655,76.86,90,100,6.17,ID,overcast clouds
258,Luderitz,-26.6481,15.1594,71.42,62,0,22.24,NA,clear sky
259,Gimli,50.6336,-96.9907,-2.06,89,100,20.65,CA,overcast clouds
260,Tuy Hoa,13.0833,109.3,69.6,76,100,10.83,VN,overcast clouds
261,Verkhnevilyuysk,63.4453,120.3167,-33.52,100,10,1.19,RU,clear sky
262,Tarko-Sale,64.9225,77.785,5.88,94,100,16.58,RU,overcast clouds
263,Sapatgram,26.3334,90.109,64.71,63,2,2.28,IN,clear sky
264,Fairbanks,64.8378,-147.7164,1.22,75,26,1.01,US,scattered clouds
